Laptop Brand,Price,Series,Device Type,OS,Dimensions,Weight,Warranty,Type,Touch,Size,Resolution,PPI,Anti Glare Screen,Features,Ethernet,HDMI,Microphone In,Headphone Jack,Camera,Keyboard,Keyboard Backlit,Inbuilt Microphone,Speakers,Optical Drive,Processor,Speed,Cache,Brand,Generation,GPU,Dedicated Memory,RAM,Solid State Drive,Battery,Sales Package,USB Type-C,USB 3.0,USB 2.0
ASUS,15364939.5,Ryzen 7 ,Netbook,Windows 10 Home,354 x 259 x 20.6 mm,2.1 kg,1,IPS-level Panel,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD Display (170 Viewing Angle, Value IPS-level Panel, 250nits Brightness, 1:1000 Contrast, 45% NTSC, 62.5% SRGB, 47.34% Adobe)",10/100/1000 Mbps,1 x HDMI 2.0b Port,Yes,Yes,No,"Backlit Chiclet 4-Zone RGB Keyboard, Yes",Yes,Built-in Array Microphone,Built-in Speaker,No,AMD Ryzen 7,"2.9 GHz, Octa Core Turbo Boost Upto 4.2 GHz",8 MB,NVIDIA,4th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,512 GB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,3,0
ASUS,13102339.5,Core i5,Netbook,Windows 10 Home,359 x 256 x 24.7 mm,2.3 kg,1,IPS-level,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD LED Backlit Display (250nits Brightness, NTSC: 45% Color Gamut, Value IPS-level)",,1 x HDMI 2.0b Port,Yes,Yes,Yes,"Backlit Chiclet Keyboard RGB, Yes",Yes,Built-in array microphone,Built-in Speaker,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 4.5 GHz",8 MB,NVIDIA,10th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,16 GB DDR4,512 GB,3 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,2,1
Lenovo,12913789.5,Core i5,Netbook,Windows 10 Home,363 x 259 x 26.1 mm,2.3 kg,1,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,FHD IPS 250nits 120Hz Display,Integrated 100/1000 Gigabit Ethernet LAN,1 x HDMI 2.0 Port,Yes,Yes,Yes,"English White Backlit Keyboard
",Yes,Dual Array Microphone,Stereo Speakers,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 4.5 GHz",8 MB,NVIDIA,10th Gen,NVIDIA GeForce GTX 1650,GDDR6  4 GB,8 GB DDR4,512 GB,,,1,3,1
Acer,12981667.5,Core i5,Netbook,Windows 10 Home,363.4 x 255 x 23.9 mm,2.4 kg,1,IPS,No,15.6 inches,1920 x 1080 pixels,~ 141,No,"Full HD, Acer ComfyView LED-backlit TFT LCD, 144 Hz Refresh Rate",Killer Ethernet E2600,1 x HDMI Port,Yes,Yes,Yes,"103- 104- 107-key FineTip RGB- with independent standard numeric keypad, Yes",Yes,Built-in Dual Microphone,Built-in Dual Speakers,No,Intel Core i5,"2.2 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,8 GB DDR4,256 GB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,1,0
MSI,20323804.5,Core i7,Netbook,Windows 10 Home,359 x 259 x 23.95 mm,2.25 kg,2,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,No,"Full HD IPS Display (72% NTSC Color Gamut, 100% sRGB)",Yes,1 x HDMI 2.0 Port,Yes,Yes,Yes,RGB Gaming Keyboard,,Yes,2 x 2 W Speakers,No,Intel Core i7,"4.6 GHz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,16 GB DDR4,512 GB,3 Cell Battery,"Laptop, Battery, Power Adapter, User Guide, MSI Essential Backpack",1,2,1
ASUS,18098914.5,Core i5,Netbook,Windows 10 Home,359 x 256 x 24.7 mm,2 kg,1,IPS-level,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Refresh Rate:144 Hz,10/100/1000 Mbps,1 x HDMI 2.0b Port,Yes,Yes,No,"Backlit RGB Chiclet Keyboard, Yes",Yes,Built-in Array Microphone,Built-in Speaker,No,Intel Core i5,"3.1 GHz, Quad Core Turbo Boost Upto 4.4 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR4,512 GB,4 Cell Battery,"Laptop, Power Adaptor, User Guide",1,0,0
ASUS,11690100.0,Core i5,Netbook,Windows 10,359 x 256 x 25 mm,2.3 kg,1,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,,1 x HDMI Port,Yes,Yes,Yes,,Yes,Yes,,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 4.5 GHz",8 MB,NVIDIA,10th Gen,NVIDIA GeForce GTX 1650,GDDR6  4 GB,8 GB DDR4,512 GB,3 Cell Battery,"Laptop, AC Adapter, User Guide, Manuals",1,2,1
ASUS,21683250.0,Ryzen 7,Netbook,Windows 10 Home,324 x 222 x 18 mm,1.6 kg,1,LED,No,14 inches,1920 x 1080 pixels,~ 157,Yes,Full HD Display,No,1 x HDMI Port,Yes,Yes,No,Chiclet Keyboard,Yes,Built-in Array Microphone,Dual Speakers,No,AMD Ryzen 7,"2.8 GHz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,GDDR6  4 GB,8 GB DDR4,512 GB,4 Cell Battery,"Laptop, Charger, User Guide, ROG sleeve for 14",0,4,0
ASUS,21304264.5,Core i7,Netbook,Windows 10 Home,360 x 252 x 20 mm,2 kg,1,IPS-level,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Refresh Rate:144 Hz,10/100/1000 Mbps,1 x HDMI 2.0b Port,Yes,Yes,No,"Backlit RGB Chiclet Keyboard, Yes",Yes,Built-in Array Microphone,Built-in Speaker,No,Intel Core i7,"3.3 GHz, Quad Core Turbo Boost Upto 4.8 GHz",12 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR4,512 GB,4 Cell Battery,"Laptop, Power Adaptor, User Guide",1,0,0
ASUS,25381469.700000003,Ryzen 9,Netbook,Windows 10 Home,324 x 220 x 18 mm,1.6 kg,1,LED,No,14 inches,1920 x 1080 pixels,~ 157,Yes,"Full HD Display, 144Hz Refresh Rate",No,1 x HDMI Port,Yes,Yes,Yes,Chiclet Keyboard,Yes,Built-in Array Microphone,Dual Speakers,No,AMD Ryzen 9,"3 GHz, Octa Core Turbo Boost Upto 4.6 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3050 ,GDDR6  4 GB,16 GB DDR4,512 GB,4 Cell Battery,"Laptop, Charger, User Guide, ROG sleeve for 14",0,4,0
HP,30166114.5,Ryzen 7 ,Netbook,Windows 10 Home,357.9 x 239.7 x 22.5 mm,2.37 kg,1,IPS ,No,15.6 inches,2560 x 1440 pixels,~ 188,Yes,"Quad HD IPS Micro-edge Display (3 ms Response Time, Brightness: 300 nits, Color Gamut: 100% DCI-P3, 165 Hz Refresh Rate)",Integrated 10/100/1000 GbE LAN,1 x HDMI 2.0a Port,Yes,Yes,Yes,"Full-size, 4-zone RGB Backlit, Mica Silver Keyboard, Yes",Yes,Built-in Dual Array Digital Microphones,Built-in Dual Speakers,No,AMD Ryzen 7,"4.4 GHz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3070,GDDR6 8 GB,16 GB DDR4,1 TB,6 Cell Battery,"Laptop, Power Adaptor, User Guide",1,0,2
ASUS,12630964.5,Core i5,Netbook,Windows 10,359 x 256 x 25 mm,2.3 kg,1,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Viewing Angle: 170/170, Contrast Ratio: 1000:1, NTSC: 45 Percent, SRGB: 62.5 Percent, Adobe: 47.1 Percent, Brightness: 250 Nits",,1 x HDMI Port,Yes,Yes,Yes,"RGB Backlit Chiclet Keyboard
",Yes,"Built-In Array Microphone
",,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 4.5 GHz",8 MB,NVIDIA,10th Gen,NVIDIA GeForce GTX 1650,GDDR6  4 GB,8 GB DDR4,1 TB,3 Cell Battery,"Laptop, AC Adapter, User Guide, Manuals",1,2,1
Lenovo,16592400.000000002,Ryzen 5 ,Netbook,Windows 10 Home,359 x 249.6 x 24.9 mm,2.2 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD LED Backlit IPS Display (120 Hz Refresh Rate, 250 nits Brightness, 45% NTSC Color Gamut)",100/1000 Mbps,1 x HDMI v2.0 Port,Yes,Yes,Yes,"English Blue LED , Yes",Yes,Dual Array Microphone,Built-in Dual Speakers,No,AMD Ryzen 5,"3 GHz, Hexa Core Turbo Boost Upto 4 GHz",8 MB,NVIDIA,4th Gen,NVIDIA Geforce GTX 1650 ,GDDR6 4 GB,16 GB DDR4,512 GB,,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,2,0
MSI,23755414.5,Core i7,Netbook,Windows 10 Home,359 x 254 x 22 mm,1.86 kg,2,LED ,No,17.3 inches,1920 x 1080 pixels,~ 141,No,"Full HD LED Backlit IPS Display (144Hz Refresh Rate, 45%NTSC Color Gamut)",Yes,1 x HDMI Port,Yes,Yes,Yes,"Single (Red), Yes",Yes,Built-in Microphones,Built in Dual Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA GeForce RTX 3060 Max-Q,GDDR6 6 GB,16 GB DDR4,256 GB,3 Cell Battery,"Laptop, Battery, Power Adapter, User Guide",2,2,0
ASUS,19135939.5,Core i5,Netbook,Windows 10 Home,380 x 300 x 80 mm,4 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD LED Backlit, IPS, Adaptive-Sync Display (144Hz Refresh Rate, 250 nits Brightness, 1000:1 Contrast, 45% NTSC Color Gamut, 62.5% SRGB)",10/100/1000 Mbps,1 x HDMI v2.0b Port,Yes,Yes,Yes,"RGB Backlit Chiclet Keyboard, Yes",Yes,Built-In Array Microphone,Built-In Dual Speakers,No,Intel Core i5,Hexa Core Turbo Boost Upto 4.5 GHz,12 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,16 GB DDR4,1 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",0,3,0
MSI,16590514.500000002,Core i5,Netbook,Windows 10 Home,359 x 254 x 21.7 mm,1.86 kg,2,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,No,"Full HD LED Backlit IPS Display (144Hz Refresh Rate, 45%NTSC Color Gamut)",Yes,1 x HDMI Port,Yes,Yes,Yes,"Single (Red), Yes",Yes,Built-in Microphones,Built in Dual Speakers,No,Intel Core i5,"2.5 GHz, Hexa Core",12,NVIDIA,10th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR4,512 GB,3 Cell Battery,"Laptop, Battery, Power Adapter, User Guide",2,2,0
ASUS,24058980.0,Core i7,Netbook,Windows 10 Home,359 x 256 x 24.7 mm,2 kg,1,IPS-level,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Refresh Rate: 240Hz,10/100/1000 Mbps,1 x HDMI 2.0b Port,Yes,Yes,No,"Backlit RGB Chiclet Keyboard, Yes",Yes,Built-in Array Microphone,Built-in Speaker,No,Intel Core i7,"3.3 GHz, Quad Core Turbo Boost Upto 4.8 GHz",12 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR4,1 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide",1,2,0
ASUS,34881750.0,Ryzen 7 ,Netbook,Windows 10 Home,354 x 259 x 27.2 mm,2.3 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD LED Backlit, IPS Display (300nits Brightness, 300 Hz Refresh Rate, 72% NTSC Color Gamut, 100% sRGB)",10/100/1000,1 x HDMI v2.0b Port,Yes,Yes,No,Optical Mechanical Keyboard Per-Key RGB with Support NumberPad,Yes,Built-in array microphone,Built in Dual Speakers,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3080,GDDR6 8 GB,16 GB DDR4,1 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,3,0
MSI,18853114.5,Core i7,Netbook,Windows 10 Home,357.7 x 248 x 27.5 mm,2.33 kg,2,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Full HD IPS Thin Bezel Display (45% NTSC Color Gamut),,1 x HDMI Port,Yes,Yes,Yes,Per Key RGB Steelseries Keyboard,Yes,Built-in Microphones,Built-in Dual Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA GeForce RTX 2060,GDDR6 6 GB,16 GB DDR4,256 GB,6 Cell Battery,"Laptop, Battery, Power Adapter, User Guide",1,3,0
MSI,33371464.500000004,Core i7,Netbook,Windows 10,359 x 254 x 22 mm,1.86 kg,1,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"IPSLevel 144Hz, close to 100%sRGB Display",,1 x HDMI Port,Yes,Yes,Yes,,Yes,Yes,2x 2W,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,Nvidia GeForce GTX 1660Ti Max-Q,6 GB,16 GB DDR4,1 TB,3 Cell Battery,"Laptop, battery, power adapter, user guide",1,3,0
Lenovo,15838200.000000002,Ryzen 7 ,Netbook,Windows 10 Home,359 x 249.6 x 24.9 mm,2.2 kg,1,"Full HD LED Backlit IPS Display (60 Hz Refresh Rate, 250 nits Brightness, 16:9 Aspect Ratio, 45% NTSC Color Gamut)",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,100/1000 Mbps,1 x HDMI v2.0 Port,Yes,,Yes,"English Blue , Yes",Yes,Dual Array Microphone,Built-in Dual Speakers,No,AMD Ryzen 7,"2.9 GHz, Octa Core Turbo Boost Upto 4.2 GHz",12 MB,NVIDIA,4th Gen,NVIDIA Geforce GTX 1650 Ti,GDDR6 4 GB,8 GB DDR4,256 GB,,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,2,0
Acer,28374889.5,Core i7,Netbook,Windows 10 Home,363.4 x 255 x 22.9 mm,2.5 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,No,"Full HD LED Backlit IPS ComfyView Display (240 Hz Refresh Rate, 100% sRGB)",10/100/1000 Mbps (Killer Ethernet E2600),1 x HDMI Port,Yes,Yes,Yes,"FineTip RGB with Independent Standard Numeric Keypad (International Language Support), Yes",Yes,Dual Built-in Microphones,Built-in Speakers,No,Intel Core i7,"2.2 GHz, Octa Core Turbo Boost Upto 5 GHz",16 MB,NVIDIA,10th Gen,NVIDIA GeForce RTX 2070 with Max-Q Design,GDDR6 8 GB,16 GB DDR4,2 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,1,1
Lenovo,13726440.0,Ryzen 5 ,Netbook,Windows 10 Home,359 x 249.6 x 24.9 mm,2.2 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD LED Backlit IPS Display (60 Hz Refresh Rate, 250 nits Brightness, 45% NTSC Color Gamut)",100/1000 Mbps,1 x HDMI v2.0 Port,Yes,Yes,Yes,"English Blue LED , Yes",Yes,Dual Array Microphone,Built-in Dual Speakers,No,AMD Ryzen 5,"3 GHz, Hexa Core Turbo Boost Upto 4 GHz",8 MB,NVIDIA,4th Gen,NVIDIA Geforce GTX 1650 Ti,GDDR6 4 GB,8 GB DDR4,512 GB,,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,2,0
MSI,30166114.5,Core i7,Netbook,Windows 10 Pro,396 x 259 x 20 mm,2.5 kg,1,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"IPS Level, 60Hz Thin Bezel",,1 x HDMI Port,Yes,Yes,Yes,,Yes,Yes,,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,Nvidia Quadro T1000,GDDR5 4 GB,16 GB DDR4,256 GB,3 Cell Battery,"Workstation, Adapter and Workstation Air Backpack",2,2,0
MSI,20172964.5, Core i7,Netbook,Windows 10,319 x 215 x 16 mm,1.29 kg,0,LED,No,14 inches,1920 x 1080 pixels,~ 157,Yes,,No,,Yes,Yes,Yes,,Yes,Yes,,No,Intel Core i7,"1.8 GHz, Quad Core Turbo Boost Upto 4.9 GHz",8 MB,NVIDIA,10th Gen,Nvidia GeForce MX250,2 GB,16 GB DDR4,512 GB,3 Cell Battery,"Laptop, battery, power adapter, user guide",2,2,0
Dell,15366825.0,Core i5,Netbook,Windows 10 Home,254 x 366 x 22 mm,2.3 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Full HD LED Backlit IPS Display,No,1 x HDMI v1.4b Port,Yes,Yes,Yes,"English International , Yes",Yes,Built-in Microphone,Built-in Dual Speakers,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 4.5 GHz",8 MB,NVIDIA,10th Gen,NVIDIA Geforce GTX 1650,GDDR6 4 GB,8 GB DDR4,512 GB,3 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",0,1,2
Dell,47137500.0,Core i7,Netbook,Windows 10 Home,360 x 360 x 19.7 mm,2.5 kg,1,OLED ,No,15.6 inches,3840 x 2160 pixels,~ 141,No,Tobii Eyetracking Technology,,1 x HDMI Port,Yes,Yes,Yes,English International Keyboard,Yes,Built-in Microphone,Built-in Dual Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA GeForce RTX 2070,GDDR6 8 GB,16 GB DDR4,1 TB,6 Cell Battery,,0,2,0
Lenovo,14490067.5,Core i5,,Windows 10 Home,365 x 260 x 25.9 mm,2.3 kg,1,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Full HD IPS LED Backlight Display,No,1 x HDMI Port,Yes,Yes,Yes,Full size white keyboard,Yes,Internal Microphone,Dual Speakers,No,Intel Core i5,"2.4 GHz, Quad Core Turbo Boost Upto 4.1 GHz",8 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1660 Ti,6 GB,8 GB DDR4,1 TB,3 Cell Battery,,0,3,0
ASUS,16969500.0,Ryzen 5,Netbook,Windows 10,324 x 220 x 20 mm,1.7 kg,1,FHD,No,14 inches,1920 x 1080 pixels,~ 141,Yes,"120Hz Refresh Rate, 100% sRGB, Pantone Validated, Adaptive sync, 85% screen-to-body ratio",No,1 x HDMI 2.0b Port,Yes,Yes,Yes,,Yes,Built-in Array Microphone,2x 2.5W Speaker ,No,AMD Ryzen 5,"3 GHz, Hexa Core Turbo Boost Upto 4 GHz",8 MB,NVIDIA,4th Gen,NVIDIA GeForce GTX 1650Ti,GDDR6  4 GB,8 GB DDR4,512 GB,4 Cell Battery,"Laptop, AC Adapter, User Guide, Manuals, ROG sleeve for G14",2,2,0
ASUS,24509614.5,Ryzen 9 ,Netbook,Windows 10 Home,360 x 252 x 19.9 mm,2.1 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD LED Backlit IPS Display (300 nits Brightness, 240 Hz Refresh Rate, 3ms Response Time (G2G) 178/178 Degree Viewing Angle, 1000:1 Contrast Ratio, 72% Color Gamut, 100% sRGB, 75.35% Adobe)",10/100/1000 Mbps,1 x HDMI v2.0 Port,Yes,Yes,No,"Backlit Chiclet Keyboard, Yes",Yes,Built-in Array Microphone,Built-in Dual Speakers,No,AMD Ryzen 9,"3 GHz, Octa Core Turbo Boost Upto 4.3 GHz",8 MB,NVIDIA,4th Gen,NVIDIA Geforce RTX 2060 with Max-Q Design,GDDR6 6 GB,16 GB DDR4,1 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,3,0
Acer,15196941.450000001,Core i5,Netbook,Windows 10 Home,,,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,No,Full HD LED Backlit IPS Display,"Gigabit Ethernet, Wake-on LAN Ready",1 x HDMI v2.0 Port,Yes,Yes,Yes,,Yes,Built-in Dual Microphone,Built-in Dual Stereo Speakers,No,Intel Core i5,"2.4 GHz, Quad Core Turbo Boost Upto 4.1 GHz",8 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1650,GDDR5 4 GB,8 GB DDR4,,,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",1,2,1
Dell,40481685.0,Core i7,Netbook,Windows 10 Home,230 x 345 x 18 mm,1.83 kg,1,LED ,No,15.6 inches,3840 x 2160 pixels,~ 282,No,Ultra HD (4K) LED Backlit InfinityEdge Display,No,1 x HDMI v2.0 Port,Yes,Yes,Yes,"English International , Yes",Yes,Built-in Microphone,Built-in Dual Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA Geforce GTX 1650 Ti,GDDR6 4 GB,32 GB DDR4,1 TB,6 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,0,0
ASUS,42421864.5,Core i7,Netbook,Windows 10 Home,356 x 224 x 24 mm,2.5 kg,1,OLED ,Yes,15.6 inches,3840 x 2160 pixels,~ 282,No,"UHD (4K) OLED Glossy IPS-Level Touch Display (DCI-P3: 100% Color Gamut, 400 nits Brightness, 133% sRGB Color Gamut, 89% Screen-to-body Ratio)",No,1 x HDMI v2.0a Port,Yes,Yes,Yes,"Backlit Chiclet Keyboard with Num-key, Yes",Yes,Built-in Array Microphone,Built-in Speaker,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA Geforce RTX 2060,GDDR6 6 GB,32 GB DDR4,1 TB,8 Cell Battery,"Laptop, Power Adaptor, Stylus, Plamrest, Stand, User Guide, Warranty Documents",0,2,0
Lenovo,14158219.5,Core i5,Netbook,Windows 10 Home,359 x 249.6 x 24.9 mm,2.2 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD LED Backlit IPS Display (250 nits Brightness, 45% Gamut, 60 Hz Refresh Rate)",100/1000 Mbps (Gigabit Ethernet),1 x HDMI v2.0 Port,Yes,Yes,Yes,"Blue Backlit English Keyboard, Yes",Yes,Integrated Dual Array Microphone,Built-in Dual Speakers,No,Intel Core i5,"2.5 GHz, Quad Core",8 MB,NVIDIA,10th Gen,NVIDIA Geforce GTX 1650 Ti,GDDR6 4 GB,8 GB DDR4,256 GB,3 Cell Battery,"Laptop, Power Adaptor, Lenovo Gaming M100 RGB Mouse, User Guide, Warranty Documents",1,2,0
ASUS,60335811.45,Core i9,Netbook,Windows 10 Home,360 x 268 x 20 mm,2.4 kg,0,IPS ,No,15.6 inches,3840 x 2160 pixels,~ 282,Yes,,,1 x HDMI 2.0b Port,Yes,Yes,Yes,Per-key RGB lighting,Yes,Array Microphone,2 x 4W speakers,No,Intel Core i7,"2.4 GHz, Octa Core Turbo Boost Upto 5.3 GHz",16 MB,NVIDIA,10th Gen,NVIDIA GeForce RTX 2080 Super,GDDR6  8 GB,16 GB DDR4,1 TB,,,1,3,0
MSI,45251811.45,Core i9,Netbook,Windows 10 Home,397 x 330 x 33 mm,4.2 kg,2,LED,No,17.3 inches,3840 x 2160 pixels,~ 255,Yes,"Ultra HD (4K) LED Backlit IPS Display (with 60 Hz Refresh Rate, 100% Adobe RGB)",Killer E2500,1 x HDMI Port,Yes,Yes,Yes,Rapid Mechanical Per Key RGB Steel Series Keyboard,Yes,Built-in Microphone,Built-in Speakers,No,Intel Core i9,"2.4 GHz, Octa Core Turbo Boost Upto 5 GHz",16 MB,NVIDIA,9th Gen,NVIDIA Geforce RTX 2070,GDDR6 8 GB,16 GB DDR4,256 GB,8 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,5,0
HP,45252000.0,Core i7,Netbook,Windows 10 Home,362.1 x 261.7 x 20 mm,2.38 kg,1,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Diagonal FHD IPS Micro-Edge WLED-Backlit Display,,1 x HDMI Port,Yes,Yes,Yes,Full-size island-style shadow black RGB per-key keyboard,Yes,Integrated Dual Array Digital Microphone,Dual Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,GeForce RTX 2080,8 GB,16 GB DDR4,1 TB,6 Cell Battery,,1,2,0
Acer,32463030.6,Core i7,Netbook,Windows 10 Home,390 x 266 x 26.75 mm,2.7 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,No,Full HD LED Backlit IPS Display,"Gigabit Ethernet, Wake-on-LAN Ready",1 x HDMI Port,Yes,Yes,Yes,,Yes,Built-in Microphone,Built-in Dual Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1660 Ti,GDDR6 6 GB,16 GB DDR4,256 GB,4 Cell Battery,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",1,1,2
HP,30337695.0,Core i7,Netbook,Windows 10 Home,360 x 260 x 20 mm,2.24 kg,1,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Diagonal FHD IPS Micro-Edge WLED-Backlit Display,No,1 x HDMI Port,Yes,Yes,Yes,Gaming RGB Keyboard,Yes,Integrated Dual Array Digital Microphone,Dual Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA GeForce RTX 2070,8 GB,16 GB DDR4,512 GB,6 Cell Battery,,0,2,0
MSI,34842154.5,Core i7,Netbook,Windows 10 Home,357 x 247 x 18 mm,1.88 kg,2,Full HD LED,No,15.6 inches,1920 x 1080 pixels,~ 141,No,Backlit IPS Display (With 144 Hz Refresh Rate),Killer Ethernet E2500,1 x HDMI Port,Yes,Yes,Yes,Per-key Backlight RGB Keyboard by Steelseries (Single Color - White),Yes,Built-in Microphone,Built-in Dual Speakers,No,Intel Core i7,"2.2 GHz, Hexa Core Turbo Boost Upto 4.1 GHz",9 MB,NVIDIA,8th Gen,NVIDIA Geforce RTX 2060,GDDR6 6 GB,16 GB DDR4,512 GB,4 Cell Battery,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",1,3,0
Lenovo,38652561.45,Core i7,Hybrid,Windows 10 Pro,361.8 x 245.7 x 18.4 mm,1.7 kg,3,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Full HD IPS LED Backlight Display,Network extension,1 x HDMI 2.0 Port,Yes,Yes,Yes,Spill-Resistant keyboard with White LED Lighting,Yes,Dual Array Digital Microphone,Stereo Speakers,No,Intel Core i7,"2.2 GHz, Hexa Core Turbo Boost Upto 4 GHz",9 MB,NVIDIA,8th Gen,NVIDIA GeForce GTX 1050 Ti,GDDR5 4 GB,16 GB DDR4,512 GB,4 Cell Battery,,2,2,0
